"event_stamp","origin","active","eff_cur","eff_min","eff_max"
"2025-12-30 05:00:06","Efficiency","1","95.0","95.0","100.0"
"2025-12-30 06:00:06","Efficiency","1","94.0","94.0","100.0"
"2025-12-30 07:00:07","Efficiency","1","93.4","93.4","100.0"
"2025-12-30 08:00:07","Efficiency","1","91.9","91.9","100.0"
"2025-12-30 09:00:07","Efficiency","1","91.7","91.7","100.0"
"2025-12-30 10:00:06","Efficiency","1","91.3","91.3","100.0"
"2025-12-30 11:00:07","Efficiency","1","91.3","91.3","100.0"
"2025-12-30 12:00:07","Efficiency","1","91.0","91.0","100.0"
"2025-12-30 13:00:08","Efficiency","1","90.8","90.8","100.0"
"2025-12-30 14:00:06","Efficiency","1","91.1","90.8","100.0"
"2025-12-30 15:00:06","Efficiency","1","91.3","90.8","100.0"
"2025-12-30 16:00:07","Efficiency","1","91.1","90.8","100.0"
"2025-12-30 17:00:07","Efficiency","1","91.2","90.8","100.0"
"2025-12-30 18:00:09","Efficiency","1","90.7","90.7","100.0"
"2025-12-30 19:00:07","Efficiency","1","90.5","90.5","100.0"
"2025-12-30 20:00:08","Efficiency","1","90.5","90.5","100.0"
"2025-12-30 21:00:07","Efficiency","1","90.9","90.5","100.0"
"2025-12-30 22:00:07","Efficiency","1","90.3","90.3","100.0"
"2025-12-30 23:00:07","Efficiency","1","90.4","90.3","100.0"
"2025-12-31 00:00:13","Efficiency","1","90.2","90.2","100.0"
"2025-12-31 01:00:09","Efficiency","1","90.1","90.1","100.0"
"2025-12-31 02:00:07","Efficiency","1","89.9","89.9","100.0"
"2025-12-31 03:00:08","Efficiency","1","90.5","89.9","100.0"
"2025-12-31 04:00:08","Efficiency","1","90.9","89.9","100.0"
"2025-12-31 05:00:08","Efficiency","1","91.3","89.9","100.0"
"2025-12-31 06:02:14","Efficiency","1","91.4","89.9","100.0"
